,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
392,marsa matruh,0,EG,1603852471,77,31.35,27.25,291.15,2.22
393,dormidontovka,99,RU,1603852471,70,47.77,134.91,279.83,4.19
394,khairagarh,0,IN,1603852472,20,26.95,77.82,297.33,0.18
395,gangotri,,,,,,,,
396,kagalnitskaya,28,RU,1603852326,76,46.88,40.15,282.67,7.39
397,arman,0,RU,1603852472,68,59.7,150.17,275.24,0.9
398,key largo,18,US,1603852202,1,25.09,-80.45,300.93,3.13
399,pontianak,64,ID,1603852473,62,-0.03,109.33,304.19,2.03
400,carutapera,61,BR,1603852473,90,-1.2,-46.02,298.1,2.4
401,melilla,0,ES,1603852473,54,35.29,-2.94,286.15,1
402,sangar,100,RU,1603852473,92,63.92,127.47,257.34,1.9
403,gat,80,IL,1603852474,100,31.61,34.76,296.48,1.09
